land_archetype,total_claims_in_archetype,true_total_claims_in_archetyp,avg_nominal_payout_all_claims,avg_2020_payout_all_claims,true_nominal_payout_all_claims,true_avg_2020_building_payout
Highly Developed (>50%),370451,267041,33862.607959,41427.98680359496691239,46975.696544,57470.72224631633003045
Mixed/Other,1614264,1211965,28162.054546,33934.45310263162262525,37510.151546,45198.63692702886111853
Highly Natural/Wetland (>50%),211244,160134,23641.399728,29321.82005330652591194,31187.029888,38680.47107635282800494
